state,s_curs,a_curs,curs,stateT,dot,curPrd,Prdflat
1,0.0,0.0,645,-3,610,345,345.0
4,2.0,2.0,647,0,628,647,450.0
3,8.0,8.0,655,-1,649,555,555.0
4,10.0,8.0,665,0,673,665,574.5
3,29.0,21.0,694,-1,698,594,594.0
4,19.0,9.0,713,0,725,713,805.5
7,4.0,-25.0,717,3,754,1017,1017.0
4,5.0,-14.0,722,0,782,722,1025.0
7,11.0,7.0,733,3,811,1033,1033.0
4,17.0,12.0,750,0,839,750,961.5
5,40.0,29.0,790,1,866,890,890.0
4,37.0,20.0,827,0,892,827,919.0
5,21.0,-19.0,848,1,915,948,948.0
4,25.0,-12.0,873,0,937,873,826.0
2,31.0,10.0,904,-2,955,704,704.0
4,16.0,-9.0,920,0,971,920,664.0
1,4.0,-27.0,924,-3,985,624,624.0
4,3.0,-13.0,927,0,995,927,626.5
1,2.0,-2.0,929,-3,1001,629,629.0
4,2.0,-1.0,931,0,1005,931,682.5
2,5.0,3.0,936,-2,1006,736,736.0
4,1.0,-1.0,937,0,1004,937,786.5
3,0.0,-5.0,937,-1,999,837,837.0
4,0.0,-1.0,937,0,992,937,837.0
3,0.0,0.0,937,-1,983,837,837.0
4,-3.0,-3.0,934,0,972,934,825.5
3,-20.0,-20.0,914,-1,960,814,814.0
4,-31.0,-28.0,883,0,947,883,783.5
3,-30.0,-10.0,853,-1,934,753,753.0
4,-24.0,7.0,829,0,921,829,678.0
2,-26.0,4.0,803,-2,908,603,603.0
4,-15.0,9.0,788,0,896,788,644.0
3,-3.0,23.0,785,-1,885,685,685.0
4,-6.0,9.0,779,0,876,779,780.0
5,-4.0,-1.0,775,1,868,875,875.0
4,-5.0,1.0,770,0,863,770,964.5
7,-16.0,-12.0,754,3,860,1054,1054.0
4,-21.0,-16.0,733,0,860,733,935.5
5,-16.0,0.0,717,1,863,817,817.0
4,-9.0,12.0,708,0,869,708,805.5
5,-14.0,2.0,694,1,879,794,794.0
4,-3.0,6.0,691,0,891,691,692.5
3,0.0,14.0,691,-1,907,591,591.0
4,0.0,3.0,691,0,927,691,541.0
2,0.0,0.0,691,-2,949,491,491.0
4,0.0,0.0,691,0,974,691,491.5
2,1.0,1.0,692,-2,1002,492,492.0
4,11.0,11.0,703,0,1032,703,451.5
1,8.0,7.0,711,-3,1064,411,411.0
4,13.0,2.0,724,0,1098,724,531.5
3,28.0,20.0,752,-1,1133,652,652.0
4,60.0,47.0,812,0,1168,812,711.5
3,59.0,31.0,871,-1,1204,771,771.0
4,134.0,74.0,1005,0,1239,1005,1073.5
6,171.0,112.0,1176,2,1272,1376,1376.0
4,117.0,-17.0,1293,0,1305,1293,1488.0
6,107.0,-64.0,1400,2,1334,1600,1600.0
4,51.0,-66.0,1451,0,1361,1451,1389.0
1,27.0,-80.0,1478,-3,1385,1178,1178.0
4,2.0,-49.0,1480,0,1403,1480,1429.0
6,0.0,-27.0,1480,2,1417,1680,1680.0
4,0.0,-2.0,1480,0,1426,1480,1530.0
3,0.0,0.0,1480,-1,1430,1380,1380.0
4,0.0,0.0,1480,0,1428,1480,1380.0
3,0.0,0.0,1480,-1,1419,1380,1380.0
4,0.0,0.0,1480,0,1404,1480,1274.5
1,-11.0,-11.0,1469,-3,1382,1169,1169.0
4,-25.0,-25.0,1444,0,1354,1444,1135.0
1,-43.0,-32.0,1401,-3,1319,1101,1101.0
4,-45.0,-20.0,1356,0,1279,1356,1123.5
3,-110.0,-67.0,1246,-1,1233,1146,1146.0
4,-87.0,-42.0,1159,0,1181,1159,1085.5
3,-34.0,76.0,1125,-1,1125,1025,1025.0
4,-24.0,63.0,1101,0,1065,1101,1152.5
6,-21.0,13.0,1080,2,1002,1280,1280.0
4,-20.0,4.0,1060,0,936,1060,1298.0
7,-44.0,-23.0,1016,3,869,1316,1316.0
4,-67.0,-47.0,949,0,802,949,1256.5
7,-52.0,-8.0,897,3,734,1197,1197.0
4,-33.0,34.0,864,0,670,864,1109.0
6,-43.0,9.0,821,2,607,1021,1021.0
4,-55.0,-22.0,766,0,549,766,979.5
6,-28.0,15.0,738,2,495,938,938.0
4,-23.0,32.0,715,0,447,715,875.0
5,-3.0,25.0,712,1,405,812,812.0
4,-2.0,21.0,710,0,368,710,809.0
5,-4.0,-1.0,706,1,344,806,806.0
4,-9.0,-7.0,697,0,325,697,594.5
1,-14.0,-10.0,683,-3,315,383,383.0
4,-4.0,5.0,679,0,314,679,380.0
1,-2.0,12.0,677,-3,322,377,377.0
4,0.0,4.0,677,0,338,677,426.5
2,-1.0,1.0,676,-2,362,476,476.0
4,-2.0,-2.0,674,0,394,674,525.0
3,0.0,1.0,674,-1,432,574,574.0
4,0.0,2.0,674,0,476,674,780.5
7,13.0,13.0,687,3,525,987,987.0
4,14.0,14.0,701,0,577,701,997.5
7,7.0,-6.0,708,3,632,1008,1008.0
4,4.0,-10.0,712,0,687,712,1018.5
7,17.0,10.0,729,3,741,1029,1029.0
4,68.0,64.0,797,0,795,797,1079.5
7,33.0,16.0,830,3,845,1130,1130.0
4,59.0,-9.0,889,0,891,889,980.5
3,42.0,9.0,931,-1,931,831,831.0
4,20.0,-39.0,951,0,965,951,865.0
3,48.0,6.0,999,-1,992,899,899.0
4,62.0,42.0,1061,0,1011,1061,841.5
1,23.0,-25.0,1084,-3,1021,784,784.0
4,25.0,-37.0,1109,0,1024,1109,799.5
1,6.0,-17.0,1115,-3,1017,815,815.0
4,4.0,-21.0,1119,0,1003,1119,821.0
1,8.0,2.0,1127,-3,982,827,827.0
4,29.0,25.0,1156,0,953,1156,909.0
2,35.0,27.0,1191,-2,919,991,991.0
4,10.0,-19.0,1201,0,880,1201,1148.0
5,4.0,-31.0,1205,1,839,1305,1305.0
4,0.0,-10.0,1205,0,795,1205,1355.0
6,0.0,-4.0,1205,2,752,1405,1405.0
4,-12.0,-12.0,1193,0,711,1193,1426.0
7,-46.0,-46.0,1147,3,672,1447,1447.0
4,-62.0,-50.0,1085,0,638,1085,1277.0
5,-78.0,-32.0,1007,1,609,1107,1107.0
4,-95.0,-33.0,912,0,588,912,1031.0
5,-57.0,21.0,855,1,574,955,955.0
4,-36.0,59.0,819,0,568,819,960.5
6,-53.0,4.0,766,2,571,966,966.0
4,-42.0,-6.0,724,0,584,724,786.5
3,-17.0,36.0,707,-1,605,607,607.0
4,-12.0,30.0,695,0,635,695,549.0
2,-4.0,13.0,691,-2,673,491,491.0
4,-1.0,11.0,690,0,719,690,490.5
2,0.0,4.0,690,-2,772,490,490.0
4,0.0,1.0,690,0,830,690,440.0
1,0.0,0.0,690,-3,892,390,390.0
4,0.0,0.0,690,0,958,690,440.0
2,0.0,0.0,690,-2,1026,490,490.0
4,8.0,8.0,698,0,1096,698,577.5
3,67.0,67.0,765,-1,1163,665,665.0
4,154.0,146.0,919,0,1229,919,950.5
5,217.0,150.0,1136,1,1292,1236,1236.0
4,108.0,-46.0,1244,0,1352,1244,1466.5
